# Medication database
# Format: Name | Active substances (comma-separated) | Type
Calcium Sandoz + Vitamin C | Calcii glubionas 1000 mg + Calcii carbonas praecipitatus 327 mg + Acidum ascorbicum 1000 mg | Leki przewodu pokarmowego i metaboliczne
Nagietek fix | Calendulae anthodium 100 g/ 100 g | Farmakologiczna grupa nieokreślona
Beromun | Tasonermin 1 mg/5 ml | Leki przeciwnowotworowe i immunomodulujące
Cezarius | Levetiracetamum 250 mg | Leki działające na układ nerwowy
Capsigel N | Nonivamidum 0.05 g + Acidum salicylicum 1.9 g + Camphorum 5 g + Terebinthini aetheroleum ab  pinum pinastrum 5 g + Eucalypti aetheroleum 2 g | Farmakologiczna grupa nieokreślona
Carbo Medicinalis VP | Carbo activatus 300 mg | Leki przewodu pokarmowego i metaboliczne
Cardiobonisol | Ginkgo bilobae folii tinctura 40 g + Crataegi inflorescentiae tinctura 35 g + Cynarae folii tinctura 25 g | Farmakologiczna grupa nieokreślona
Cardiol C | Convallariae tinctura 27 g + Crataegi cum Valerianae tinctura (1 : 4,0-4,5) ekstrahent etanol 70% (v/v) 40 g + Colae extractum fluidum 14 g + Coffeinum 0.072 g | Farmakologiczna grupa nieokreślona
Cardioxane | Dexrazoxanum 500 mg | Pozostałe produkty lecznicze
Cardura | Doxazosini mesilas 1.213 mg | Leki układu sercowo‑naczyniowego
Cataflam 50 | Diclofenacum kalicum 50 mg | Leki układu mięśniowo‑szkieletowego
Catalin | Pirenoxinum natricum 0.85 mg | Leki okulistyczne i otologiczne
Cavinton | Vinpocetinum 10 mg | Leki działające na układ nerwowy
Cebion | Acidum ascorbicum 100 mg | Leki przewodu pokarmowego i metaboliczne
Advagraf | Tacrolimus 0.5 mg | Leki przeciwnowotworowe i immunomodulujące
Ceclor | Cefaclorum 125 mg/5 ml | Leki przeciwbakteryjne i przeciwzakaźne
Ceclor MR | Cefaclorum 375 mg | Leki przeciwbakteryjne i przeciwzakaźne
Longamox | Amoxicillinum trihydricum 172.18 mg/1 ml | Farmakologiczna grupa nieokreślona
Cefaleksyna TZF | Cefalexinum monohydricum 500 mg | Leki przeciwbakteryjne i przeciwzakaźne
Cefalgin Migraplus | Paracetamolum 250 mg + Propyphenazonum 150 mg + Coffeinum 50 mg | Leki działające na układ nerwowy
Cefobid | Cefoperazonum 1 g | Cefalosporyny III generacji
Celestone | Betamethasoni natrii phosphas 5.3 mg/ml | Leki hormonalne
Normosan | Carvi fructus 35 g + Frangulae cortex 20 g + Sambuci fructus 18 g + Sennae foliolum 10 g + Menthae piperitae folium 17 g | Leki przewodu pokarmowego i metaboliczne
Cepan | Allii cepae extractum 20 g/100 g + Chamomillae tinctura 5 g/100 g + Heparinum natricum 5000 j./100 g + Allantoinum 1 g/100 g | Leki dermatologiczne
Aerinaze | Desloratadinum 2.5 mg + Pseudoephedrini sulfas 120 mg | Leki układu oddechowego
Cernevit | Retinoli palmitas 3500 j.m. + Cholecalciferolum 220 j.m. + DL-alpha-Tocopherolum 10.2 mg + Acidum ascorbicum 125 mg + Cocarboxylasum tetrahydricum 5.8 mg + Natrii riboflavini phosphas 5.67 mg + Pyridoxini hydrochloridum 5.5 mg + Cyanocobalaminum 6 mcg + Acidum folicum 414 mcg + dekspantenol 16.15 mg + Biotinum 69 mcg + Nicotinamidum 46 mg | Leki działające na krew i układ krwiotwórczy
Chlorchinaldin | Chlorquinaldolum 0.6 g | Leki dermatologiczne
Chlorchinaldin VP | Chlorquinaldolum 2 mg | Leki układu oddechowego
Chlorchinaldin H | Chlorquinaldolum 30 mg/g + Hydrocortisoni acetas 10 mg/g | Leki dermatologiczne
Chlorocyclinum 3% | Chlortetracyclini hydrochloridum 30 mg/g | Leki dermatologiczne
Chloropernazinum | Prochlorperazini dimaleas 10 mg | Leki działające na układ nerwowy
Chlorprothixen Zentiva | Chlorprothixeni hydrochloridum 50 mg | Leki działające na układ nerwowy
Chlorsuccillin | Suxamethonii chloridum 200 mg | Leki układu mięśniowo‑szkieletowego
Cholestil | Hymecromonum 200 mg | Leki przewodu pokarmowego i metaboliczne
Cholinex | Cholini salicylas 150 mg | Leki działające na układ nerwowy
Cholitol | Curcumae tinctura 30 g + Taraxaci succus 25 g + Valerianae tinctura 15 g + Menthae piperitae tinctura 12 g + Cynarae tinctura 11 g + Belladonnae tinctura 7 g | Farmakologiczna grupa nieokreślona
Cinnarizinum WZF | Cinnarizinum 25 mg | Leki działające na układ nerwowy
Ciprinol | Ciprofloxacinum 100 mg | Fluorochinolony
Cipronex | Ciprofloxacini hydrochloridum 291 mg | Fluorochinolony
Citrolyt | Kalii citras 46.4 g/100 g + Natrii citras 39.1 g/100 g + Acidum citricum 14.5 g/100 g | Farmakologiczna grupa nieokreślona
Claritine | Loratadinum 1 mg/ml | Leki układu oddechowego
Doxar | Doxazosini mesilas 1.21 mg | Leki układu moczowo‑płciowego i hormony płciowe
Clemastinum WZF | Clemastini fumaras 1.34 mg | Leki układu oddechowego
Clexane | Enoxaparinum natricum 20 mg | Leki działające na krew i układ krwiotwórczy
Clonazepamum TZF | Clonazepamum 1 mg/ml | Leki działające na układ nerwowy
Clopamid VP | Clopamidum 20 mg | Leki układu sercowo‑naczyniowego
Clopixol | Zuclopenthixoli dihydrochloridum | Leki działające na układ nerwowy
Clopixol-Acuphase | Zuclopenthixoli acetas 50 mg | Leki działające na układ nerwowy
Clopixol-Depot | Zuclopenthixoli decanoas 200 mg | Leki działające na układ nerwowy
Clostilbegyt | Clomifeni citras 50 mg | Leki układu moczowo‑płciowego i hormony płciowe
Clotrimazolum GSK | Clotrimazolum 1 g | Leki dermatologiczne
Clotrimazolum Medana | Clotrimazolum 1 g | Leki dermatologiczne
Coaxil | Tianeptinum 12.5 mg | Inne leki przeciwdepresyjne
Coffecorn forte | Ergotamini tartras 1 mg + Coffeinum 100 mg | Leki działające na układ nerwowy
Coffecorn mite | Ergotamini tartras 0.5 mg + Coffeinum 25 mg | Leki działające na układ nerwowy
Coldrex MaxGrip C | Paracetamolum 500 mg + Coffeinum 25 mg + Phenylephrini hydrochloridum 5 mg + Terpini hydras 20 mg + Acidum ascorbicum 38 mg | Leki działające na układ nerwowy
Coldrex o smaku cytrynowym | Paracetamolum 750 mg + Phenylephrini hydrochloridum 10 mg + Acidum ascorbicum 60 mg | Leki działające na układ nerwowy
Colistin TZF | Colistimethatum natricum 1000000 j.m. | Leki przeciwbakteryjne i przeciwzakaźne
Elocom | Mometasoni furoas 1 mg | Leki dermatologiczne
Concor 10 | Bisoprololi fumaras 10 mg | β-blokery selektywne
Concor 5 | Bisoprololi fumaras 5 mg | β-blokery selektywne
Metafen Ibuprofen | Ibuprofenum 200 mg | NLPZ
Condyline | Podophyllotoxinum 5 mg/ml | Leki dermatologiczne
Contractubex | Heparinum natricum 50 IU + Allii cepae extractum 100 mg + Allantoinum 10 mg | Leki dermatologiczne
Controloc 40 | Pantoprazolum 40 mg | IPP
Tabletki nasercowe Herbapol Wrocław | Convallariae majalis extractum siccum 15.7 mg | Farmakologiczna grupa nieokreślona
Convulex 300 | Acidum valproicum 300 mg | Leki działające na układ nerwowy
Convulex | Acidum valproicum 500 mg | Leki działające na układ nerwowy
Amiokordin | Amiodaroni hydrochloridum 150 mg | Leki układu sercowo‑naczyniowego
Cordarone | Amiodaroni hydrochloridum 150 mg | Leki układu sercowo‑naczyniowego
Corneregel | Dexpanthenolum 50 mg/g | Leki okulistyczne i otologiczne
Deca-Durabolin | Nandroloni decanoas 50 mg | Leki przewodu pokarmowego i metaboliczne
Cortineff | Fludrocortisoni acetas 100 mcg | Leki hormonalne
Cortineff ophtalm. 0,1% | Fludrocortisoni acetas 1 mg | Farmakologiczna grupa nieokreślona
Cozaar | Losartanum kalicum 50 mg | ARB
Cravisol | Melissae herbae intractum 32.02 g + Visci herbae intractum 13.88 g + Crataegi inflorescentiae intractum 46.26 g | Farmakologiczna grupa nieokreślona
CromoHexal | Natrii cromoglicas 2.8 mg | Leki układu oddechowego
Crotamiton Farmapol | Crotamitonum 10 g | Leki przeciwpasożytnicze
Leflunomide medac | Leflunomidum 20 mg | Leki przeciwnowotworowe i immunomodulujące
Cusicrom 4% | Dinatrii cromoglicas 40 mg | Leki okulistyczne i otologiczne
Cynarex | Cynarae extractum siccum (3-5:1) 250 mg (ekstrahent - etanol 50% (v/v)) | Farmakologiczna grupa nieokreślona
Cutivate | Fluticasoni propionas 0.5 mg/g | Leki dermatologiczne
Cyclo-Progynova | Estradioli valeras tabletki białe - 2,000 mg + Norgestrel tabletki jasnobrązowe - 0,500 mg + Estradioli valeras tabletki jasnobrązowe - 2,000 mg | Leki układu moczowo‑płciowego i hormony płciowe
Cyclonamine | Etamsylatum 250 mg | Leki działające na krew i układ krwiotwórczy
Cyclonamine 12,5% | Etamsylatum 250 mg/2 ml | Leki działające na krew i układ krwiotwórczy
Cymevene | Ganciclovirum 500 mg | Leki przeciwbakteryjne i przeciwzakaźne
Cytosar | Cytarabinum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Cytotec | Misoprostolum 200 mg | Leki przewodu pokarmowego i metaboliczne
Encorton | Prednisonum 5 mg | Leki hormonalne
Dafnegin | Ciclopirox olaminum 100 mg | Leki układu moczowo‑płciowego i hormony płciowe
Daktarin | Miconazoli nitras 20 mg | Leki dermatologiczne
Verospiron | Spironolactonum 25 mg | Leki układu sercowo‑naczyniowego
Dalacin C | Clindamycini palmitas 750 mg | Leki przeciwbakteryjne i przeciwzakaźne
Dalacin T | Clindamycinum 10 mg | Leki dermatologiczne
Titlodine | Tolterodini tartras 2 mg | Leki układu moczowo‑płciowego i hormony płciowe
Davercin | Erythromycini cyclocarbonas 25 mg | Leki dermatologiczne
Debecylina | Benzathini benzylpenicillinum 1200000 j.m. | Leki przeciwbakteryjne i przeciwzakaźne
Debelizyna | Dolichosi biflorum seminis extractum 65.45 g | Farmakologiczna grupa nieokreślona
Epivir | Lamivudinum 150 mg | Leki przeciwbakteryjne i przeciwzakaźne
Decaldol | Haloperidoli decanoas 70.52 mg | Leki działające na układ nerwowy
Decapeptyl Depot | Triptorelinum 4.12 mg | Leki przeciwnowotworowe i immunomodulujące
Deflegmin Baby | Ambroxoli hydrochloridum | Leki układu oddechowego
Deflegmin EFFECT | Ambroxoli hydrochloridum 30 mg | Leki układu oddechowego
10% Dekstran 40 000 Fresenius | Dextranum 100 g | Leki działające na krew i układ krwiotwórczy
Delacet | Delphinii consolidae tinctura 96 g | Leki przeciwpasożytnicze
Fortiven Gel | Heparinum natricum 100000 j.m./100 g | Leki układu sercowo‑naczyniowego
Dentinox N | Chamomillae tinctura 1500 mg + Lidocaini hydrochloridum 34 mg + Lauromacrogolum 400 32 mg | Farmakologiczna grupa nieokreślona
Dentosept | Extractum compositum fluidum (0,65:1) ex (0,65:1) ex: Matricariae flore 2,0 cz., Quercus cortice 2,0 cz., Salviae folio 2,0 cz., Arnica herba 1,0 cz., Calami rhizomate 1,0 cz., Menthae piperitae herba 1,0 cz., Thymi herba 1,9 cz., ekstrahent etanol 70% (v/v) + Matricariae flore ad 1 ml + Quercus cortice 2 cz. + Salviae folio 2 cz. + Arnica herba 200 mg/ml + Calami rhizomate 1,35 mg/ml + Menthae piperitae herba 1 cz. + Thymi herba (lodowaty) 1 mg/ml | Farmakologiczna grupa nieokreślona
Dentosept A | Menthae piperitae herba 1 cz. + Salviae folium 2 cz. + Calami rhizomate 1 cz. + Benzocainum 2 g + Arnica herba 1 cz. + Thymi herba 1 cz. + Quercus cortex 2 cz. + Matricariae flos 2 cz. | Farmakologiczna grupa nieokreślona
Depakine | Natrii valproas 5.764 g | Leki działające na układ nerwowy
Depakine Chrono 300 | Natrii valproas 200 mg + Acidum valproicum 87 mg | Leki działające na układ nerwowy
Lavistina | Betahistini dihydrochloridum 16 mg | Leki działające na układ nerwowy
Depo-Medrol z Lidokainą | Methylprednisoloni acetas 40 mg/ml + Lidocaini hydrochloridum monohydricum 10 mg/ml | Leki hormonalne
Puder Płynny Dermopur | Benzocainum 15 g/ 100 g | Leki dermatologiczne
Dermosavit | Retinoli palmitas 500 j.m. | Farmakologiczna grupa nieokreślona
Dermovate | Clobetasoli propionas 0.5 mg/g | Leki dermatologiczne
Dermovit F | Vitaminum F 2.5 g | Leki dermatologiczne
Dernilan | Camphora racemica 1 g + Allantoinum 300 mg + Nicotynamidum 250 mg + Acidum salicylicum 100 mg | Farmakologiczna grupa nieokreślona
Desferal | Desferoxamini mesilas 500 mg | Pozostałe produkty lecznicze
Detreomycyna 1% | Chloramphenicolum 10 mg/g | Leki dermatologiczne
Detreomycyna 2% | Chloramphenicolum 20 mg | Leki dermatologiczne
Devisol-25 | Calcifediolum 1.5 mg | Leki przewodu pokarmowego i metaboliczne
Dexamethason WZF 0,1% | Dexamethasonum 1 mg | Leki okulistyczne i otologiczne
Pabi-Dexamethason | Dexamethasonum 500 mcg | Leki hormonalne
Dexamytrex | Gentamicini sulfas 5 mg/ml + Dexamethasoni natrii phosphas 1 mg/ml | Leki okulistyczne i otologiczne
Dexapolcort | Dexamethasonum 0.28 mg/g | Leki dermatologiczne
Dexapolcort N | Dexamethasonum 150 mcg/ml + Neomycini sulfas 750 mcg/ml | Leki dermatologiczne
Dexaven | Dexamethasoni natrii phosphas 4.37 mg/ml | Leki hormonalne
Diabrezide | Gliclazidum 80 mg | Pochodne sulfonylomocznika
Diane - 35 | Cyproteroni acetas 2 mg + Ethinylestradiolum 0.035 mg | Leki układu moczowo‑płciowego i hormony płciowe
Dicloreum | Diclofenacum natricum 75 mg | Leki układu mięśniowo‑szkieletowego
Dicloreum retard | Diclofenacum natricum 100 mg | Leki układu mięśniowo‑szkieletowego
Dicortineff | Neomycinum 2500 j.m. + Gramicidinum 25 j.m. + Fludrocortisoni acetas 1 mg | Leki okulistyczne i otologiczne
Diflucan | Fluconazolum 2 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Digestonic | Rosae caninae fructus extractum 2.34 g + Chamomillae extractum 2.34 g + Rhei radix extractum 2.36 g + Foeniculi fructus extractum 1.2 g + Hyperici herba extractum 4.7 g + Menthae piperitae folii extractum 2.34 g + Coriandri fructus extractum 1.2 g | Farmakologiczna grupa nieokreślona
Methadone Hydrochloride Molteni | Methadoni hydrochloridum 1 mg/ml | Leki działające na układ nerwowy
Digoxin WZF | Digoxinum 250 mcg | Leki układu sercowo‑naczyniowego
Digoxin Teva | Digoxinum 0,25 mg/tabl. | Leki układu sercowo‑naczyniowego
Dihydroergotaminum Filofarm | Dihydroergocristini mesylas 0.03 g | Leki działające na układ nerwowy
Dilzem retard | Diltiazemi hydrochloridum 90 mg | Leki układu sercowo‑naczyniowego
Diphergan | Promethazini hydrochloridum 10 mg | Leki układu oddechowego
Diprivan | Propofolum 10 mg | Leki działające na układ nerwowy
Diprogenta | Betamethasoni dipropionas 0,64 mg/g + Gentamicini sulfas 1 mg/g | Leki dermatologiczne
Diprolene | Betamethasoni dipropionas 0.64 mg/g | Leki dermatologiczne
Diprophos | Betamethasoni dipropionas 6.43 mg/ml + Betamethasoni natrii phosphas 2.63 mg/ml | Leki hormonalne
Diprosalic | Betamethasoni dipropionas 0.64 mg/g + Acidum salicylicum 30 mg/g | Leki dermatologiczne
Dissenten | Loperamidi hydrochloridum 2 mg | Leki przewodu pokarmowego i metaboliczne
DISTREPTAZA | Streptodornasum 1250 j,m. + Streptokinasum 15000 j.m. | Leki działające na krew i układ krwiotwórczy
Biostrepta | Streptodornasum 1250 j.m. + Streptokinasum 15000 j.m. | Leki działające na krew i układ krwiotwórczy
Disulfiram WZF | Disulfiramum 100 mg | Leki działające na układ nerwowy
Eltroxin | Levothyroxinum natricum 100 mcg | Leki hormonalne
Ditropan | Oxybutynini hydrochloridum 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Diuramid | Acetazolamidum 250 mg | Leki okulistyczne i otologiczne
Divascan | Iprazochromum 2.5 mg | Leki działające na układ nerwowy
Dobutamin Sandoz | Dobutamini hydrochloridum 280 mg | Leki układu sercowo‑naczyniowego
Dobutamine TZF | Dobutamini hydrochloridum 280.2 mg | Leki układu sercowo‑naczyniowego
Dolomit VIS | Magnesii carbonas 32 mg jonów Mg2+ + Calcii carbonas 54 mg jonów Ca2+ | Leki przewodu pokarmowego i metaboliczne
Gripex Control | Paracetamolum 500 mg + Coffeinum 50 mg | Leki działające na układ nerwowy
Dopaminum hydrochloricum WZF 1% | Dopamini hydrochloridum 10 mg | Leki układu sercowo‑naczyniowego
Dopaminum hydrochloricum WZF 4% | Dopamini hydrochloridum 40 mg/ml | Leki układu sercowo‑naczyniowego
Dopegyt | Methyldopum 282 mg | Leki układu sercowo‑naczyniowego
Dormicum | Midazolami maleas 20.4 mg | Leki działające na układ nerwowy
Doxepin Teva | Doxepini hydrochloridum 11.3 mg | Leki działające na układ nerwowy
Doxycyclinum TZF | Doxycyclini hyclas 20 mg | Leki przeciwbakteryjne i przeciwzakaźne
Duomox | Amoxicillinum 250 mg | Penicyliny
Duracef | Cefadroxilum 3 g | Leki przeciwbakteryjne i przeciwzakaźne
Duspatalin Gastro | Mebeverini hydrochloridum 135 mg | Leki przewodu pokarmowego i metaboliczne
Ebrantil 25 | Urapidili hydrochloridum 5.47 mg | Leki układu sercowo‑naczyniowego
Echinapur | Echinaceae purpureae herbae extractum siccum 50 mg/g | Farmakologiczna grupa nieokreślona
Ecomer | Olej z wątroby rekina 250 mg | Leki przeciwnowotworowe i immunomodulujące
Edicin | Vancomycini hydrochloridum 500 mg | Leki przeciwbakteryjne i przeciwzakaźne
Fervex ból i gorączka baby | Paracetamolum 80 mg/1000 mg | Leki działające na układ nerwowy
Fervex ból i gorączka kids | Paracetamolum 300 mg/ 1300 mg | Leki działające na układ nerwowy
Fervex ból i gorączka | Paracetamolum 500 mg | Leki działające na układ nerwowy
Fervex ból i gorączka C Plus | Paracetamolum 330 mg + Acidum ascorbicum 200 mg | Leki działające na układ nerwowy
Effortil | Etilefrini hydrochloridum 7.5 mg/ml | Leki układu sercowo‑naczyniowego
Gliolan | 5-aminolevulinici Acidi hydrochloridum 30 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Effox long 50 | Mieszanina monoazotanu izosorbidu z laktozą (90/10) 55.556 mg | Leki układu sercowo‑naczyniowego
Efrinol 1% | Ephedrini hydrochloridum 1 g | Leki układu oddechowego
Efudix | Fluorouracilum 50 mg/g | Leki przeciwnowotworowe i immunomodulujące
Elenium | Chlordiazepoxidum 5 mg | Leki działające na układ nerwowy
Elmex | Olaflurum (Aminofluorek 297) 30.32 mg + Dectaflurum (Aminofluorek 335) 2.87 mg + Natrii fluoridum 22.1 mg | Leki przewodu pokarmowego i metaboliczne
EMLA | Lidocainum 25 mg/g + Prilocainum 25 mg/g | Leki działające na układ nerwowy
Enarenal | Enalaprili maleas 5 mg | ACEI
Ultrapiryna | Acidum acetylsalicylicum 325 mg | Leki działające na układ nerwowy
Encortolon | Prednisolonum 5 mg | Leki hormonalne
Palexia | Tapentadolum 100 mg | Leki działające na układ nerwowy
Endoxan | Cyclophosphamidum 50 mg | Leki przeciwnowotworowe i immunomodulujące
Enema | Dinatrii phosphas dodecahydricus 32.2 mg/ml + Natrii dihydrophosphas 139 mg/ml | Leki przewodu pokarmowego i metaboliczne
Gastrovit TraviComplex | Salicis cortex 2 cz. + Thymi herba 1 cz. + Millefolii herba 1 cz. + Quercus cortex 2 cz. + Salviae herba 2 cz. + Artemisiae abrotani herba 2 cz. | Farmakologiczna grupa nieokreślona
Epitoram | Topiramatum 25 mg | Leki działające na układ nerwowy
Epanutin Parenteral | Phenytoinum natricum 250 mg | Leki działające na układ nerwowy
Ergotaminum Filofarm | Ergotamini tartras 1 mg | Leki działające na układ nerwowy
Erythromycinum TZF | Erythromycinum | Makrolidy
Prilactone Next | Spironolakton 100 mg | Farmakologiczna grupa nieokreślona
Erythromycinum Intravenosum TZF | Erythromycinum 300 mg | Makrolidy
Esceven | Hippocastani seminis extractum 83.5 mg/g + Heparinum natricum 0.42 mg/g | Farmakologiczna grupa nieokreślona
Espumisan | symetykon 40 mg | Leki przewodu pokarmowego i metaboliczne
Esputicon | Dimeticonum 350 980 mg/g | Leki przewodu pokarmowego i metaboliczne
Essentiale forte | Fosfolipidy z nasion sojowych zawierające (3-sn-fosfatydylo)cholinę 300 mg | Leki przewodu pokarmowego i metaboliczne
Estazolam TZF | Estazolamum 2 mg | Leki działające na układ nerwowy
Estrofem | Estradiolum 2.07 mg | Leki układu moczowo‑płciowego i hormony płciowe
Etopiryna | Acidum acetylsalicylicum 300 mg + Ethoxybenzamidum 100 mg + Coffeinum 50 mg | Leki działające na układ nerwowy
Exacyl | Acidum tranexamicum 500 mg | Leki działające na krew i układ krwiotwórczy
Famotydyna Ranigast | Famotidinum 20 mg | Antagoniści receptora H2
Famogast | Famotidinum 40 mg | Antagoniści receptora H2
Feldene | Piroxicamum 20 mg/ml | Leki układu mięśniowo‑szkieletowego
Fenactil | Chlorpromazini hydrochloridum 40 mg | Leki działające na układ nerwowy
Cystadane | Betainum anhydrousum 1 g | Leki przewodu pokarmowego i metaboliczne
Fenistil | Dimetindeni maleas 100 mg | Leki układu oddechowego
Fentanyl WZF | Fentanyli citras 78.55 mcg/ml | Leki działające na układ nerwowy
Ferrum-Lek | Ferri hydroxidum dextranum 100 mg Fe+++ | Leki działające na krew i układ krwiotwórczy
Venofer | Ferri hydroxidum saccharum 20 mg Fe+++ | Leki działające na krew i układ krwiotwórczy
Fevarin | Fluvoxamini maleas 50 mg | SSRI
Flegamina Classic | Bromhexini hydrochloridum 8 mg | Leki układu oddechowego
Flixonase | Fluticasoni propionas 0.05 g | Leki układu oddechowego
Fluanxol Depot | Flupentixoli decanoas 20 mg/ml | Leki działające na układ nerwowy
Flucinar | Fluocinoloni acetonidum 0.25 mg | Leki dermatologiczne
